age,annual_income,customer_satisfaction,purchase_frequency,customer_loyalty
45,34525,10,25,9
25,26206,3,21,10
38,72579,6,22,4
23,71760,8,14,6
42,63564,9,2,10
25,107540,1,22,8
41,64200,8,29,7
57,92905,7,17,9
63,107359,4,28,5
18,92941,7,22,8
62,115434,6,25,10
50,75583,5,18,4
46,90778,3,16,10
26,37565,3,24,8
48,47806,6,12,9
53,81618,10,16,1
35,90273,7,6,2
57,23348,3,26,3
38,65346,10,26,2
38,55348,6,6,2
20,111754,2,13,1
27,108299,5,7,6
19,53869,9,8,7
57,20185,5,17,3
31,38120,7,27,9
41,56472,4,28,1
62,58200,7,30,9
19,25978,6,19,10
26,98848,1,16,10
42,56801,3,30,2
46,20685,5,15,9
33,72966,2,10,4
58,71385,5,3,4
31,99331,6,13,7
36,115571,4,14,7
43,34280,5,10,5
47,114563,4,24,9
33,51159,7,16,4
44,46366,8,2,9
50,79855,9,7,5
60,72533,8,30,3
26,116631,2,29,3
55,25106,3,22,6
54,101726,1,4,10
24,35693,1,19,6
52,89906,3,13,5
42,44220,2,25,5
64,36524,8,30,3
44,35398,10,12,2
63,102506,9,8,9
35,38472,6,24,4
52,76443,7,20,8
23,38117,6,2,4
35,99007,7,4,6
36,65219,5,20,8
28,33917,2,5,8
28,38582,8,23,3
29,88339,7,28,9
23,21909,7,16,2
44,76744,1,18,9
32,63440,9,11,9
25,15467,10,16,9
59,70349,5,6,7
18,63411,8,4,10
50,64103,3,24,9
24,68885,9,1,2
38,88002,10,9,7
24,36064,5,21,8
40,81854,5,14,7
57,89977,4,14,4
37,112162,6,17,9
55,84398,6,9,5
29,105240,7,24,10
42,98340,6,6,1
53,86981,7,10,8
18,85078,4,20,8
65,102401,5,19,2
38,115673,3,18,7
60,63391,8,14,5
42,40524,8,2,6
48,70567,7,12,3
63,78617,6,24,6
63,27161,4,11,5
21,76557,7,12,7
36,69283,3,3,2
64,75703,7,19,2
56,113729,4,30,7
57,46034,5,28,3
20,15376,1,17,1
20,43237,3,19,2
61,88569,10,17,1
59,106878,4,12,10
20,86276,4,11,6
64,26553,6,22,5
47,109076,4,9,2
18,49670,5,26,9
63,103864,8,29,3
58,84810,2,8,1
48,33287,1,16,8
44,103430,3,18,4
60,103518,6,18,9
51,39851,8,13,1
35,84605,1,1,4
64,61387,3,29,3
46,74565,6,12,7
43,107264,7,4,6
38,16292,7,7,4
39,26961,3,7,3
34,83369,2,28,3
23,35598,7,11,2
46,28264,6,22,6
18,99426,5,4,1
58,34977,10,27,4
43,112910,9,1,1
23,74334,1,25,8
62,74633,9,19,3
41,32544,7,22,1
57,99551,9,15,6
43,96517,4,8,5
61,39753,4,17,5
62,66081,6,15,5
23,49475,3,22,4
22,75150,1,5,7
32,111384,6,7,3
22,17164,1,23,4
44,60893,5,15,8
27,107104,9,12,6
50,56167,5,6,8
19,84737,2,20,8
31,19334,2,3,1
44,77110,9,21,1
22,83910,10,27,5
61,50697,9,5,10
56,119961,10,22,9
56,31634,3,11,5
25,77207,10,23,5
22,69073,7,23,1
44,27490,1,16,2
32,111573,10,12,8
26,115183,9,3,2
22,28021,1,3,2
62,65696,4,9,3
36,65093,9,13,10
57,29335,7,1,1
35,95291,1,29,5
36,68341,5,27,10
49,88177,6,11,10
35,65520,10,15,5
31,89291,4,2,6
65,30229,2,25,10
57,112295,6,26,8
57,86097,3,7,5
61,36701,4,1,9
32,84093,2,2,10
25,18122,8,4,5
21,70484,7,23,2
40,34433,7,29,1
38,59298,4,1,7
18,36458,4,19,3
22,59213,1,3,2
33,104821,5,14,6
22,55353,3,16,9
28,115272,1,6,3
38,21810,1,11,2
23,24280,4,29,9
36,76379,8,12,9
52,29240,1,9,6
61,88752,10,1,6
37,72453,7,23,1
47,84033,10,26,1
58,42307,1,7,9
62,97684,5,5,1
62,67473,3,2,7
18,92549,1,8,5
44,63029,8,23,9
19,92751,6,7,5
18,32112,5,20,2
49,52933,4,29,5
42,53632,7,23,1
25,84602,6,27,10
51,57920,7,6,8
38,108164,2,23,1
63,119894,5,1,1
36,50233,10,11,3
53,58365,6,30,7
23,49471,6,8,5
28,74981,5,14,3
43,19066,4,14,10
26,30546,1,19,5
51,97424,6,25,4
52,44764,4,27,3
18,44178,3,14,3
43,61324,4,10,2
31,53190,6,30,5
23,117097,6,18,1
59,34380,8,3,3
48,115365,3,22,1
37,23518,3,25,9
55,47075,10,4,4
34,65188,9,20,2
31,90459,1,13,4
56,93307,7,23,9
21,57777,5,14,5
23,86204,3,16,6
58,107559,10,17,10
29,85545,8,19,5
22,109490,9,18,4
46,75821,7,5,10
63,99246,7,8,8
36,74270,5,4,9
53,97919,10,5,2
38,117990,5,8,1
22,34570,5,9,8
30,34476,6,1,6
48,96265,10,1,1
44,75454,9,16,3
51,28523,7,8,10
52,20377,7,20,5
40,21290,10,3,9
31,83226,4,3,1
40,82522,3,6,9
39,104330,2,24,1
26,52964,2,15,6
38,63453,7,23,8
30,68124,7,25,8
45,60349,10,16,7
38,108794,9,28,3
51,55252,7,23,6
28,36330,1,16,2
27,28710,4,14,9
50,87597,2,29,5
20,99988,10,26,5
42,90911,10,8,2
31,45221,7,5,3
48,100085,7,25,5
41,56040,9,26,6
44,66581,3,17,3
62,56490,4,14,6
36,53183,4,30,5
45,56469,4,23,10
22,103128,9,7,2
35,49460,5,9,6
43,68717,2,20,2
54,113835,1,4,5
62,36372,10,24,3
33,20804,1,23,5
22,108116,5,6,1
59,72817,6,26,1
33,91852,8,29,1
45,83221,9,30,3
51,103410,6,11,1
36,114801,10,9,10
51,34634,7,12,1
63,65408,9,27,10
53,24007,5,16,5
45,87044,4,15,10
47,87044,6,2,4
65,92074,9,27,1
20,119003,6,3,3
52,22270,7,11,3
64,25856,10,21,7
35,20835,6,10,7
38,94505,3,9,4
29,101984,9,19,2
55,117824,7,24,7
60,112882,3,4,9
64,102167,9,1,1
39,67936,8,6,6
46,77140,9,14,4
47,22832,10,7,7
22,116464,4,21,9
49,50167,1,9,10
39,108883,3,7,4
23,52326,7,3,8
63,43114,1,26,8
